word,sentence1,sentence2,same,ambiguity_type,disambiguating_word1,disambiguating_word2,version,Class,mean_relatedness,median_relatedness,diff,count,sd_relatedness,distance_bert,distance_elmo,se_relatedness,v1,v2
bail,He bailed out the defendant,He bailed out the liquid,FALSE,Homonymy,defendant,liquid,M1_b_M2_b,V,0764705882,1,0235294118,17,0752446989,042926693,0120074809,0182495201,M1_b,M2_b
bail,He bailed out the prisoner,He bailed out the defendant,TRUE,Homonymy,prisoner,defendant,M1_a_M1_b,V,3083333333,4,0916666667,12,1378954369,0140995204,0084383667,0398069838,M1_a,M1_b
bail,He bailed out the water,He bailed out the liquid,TRUE,Homonymy,water,liquid,M2_a_M2_b,V,3083333333,35,0416666667,12,1083624669,0126403391,0065280318,0312815497,M2_a,M2_b
band,It was a gold band,It was a jazz band,FALSE,Homonymy,gold,jazz,M1_a_M2_a,N,02,0,02,10,0421637021,0449524701,0073461235,0133333333,M1_a,M2_a
band,It was a gold band,It was a country band,FALSE,Homonymy,gold,country,M1_a_M2_b,N,0384615385,0,0384615385,13,0506369684,0455853581,0076260746,0140441681,M1_a,M2_b
band,It was a rubber band,It was a jazz band,FALSE,Homonymy,rubber,jazz,M1_b_M2_a,N,0333333333,0,0333333333,12,0651338947,0482806385,0080441296,0188025358,M1_b,M2_a
band,It was a rubber band,It was a country band,FALSE,Homonymy,rubber,country,M1_b_M2_b,N,01,0,01,10,0316227766,0484228253,0089959681,01,M1_b,M2_b
band,It was a gold band,It was a rubber band,TRUE,Homonymy,gold,rubber,M1_a_M1_b,N,2526315789,3,0473684211,19,1218761715,0250876188,0045372784,0279603113,M1_a,M1_b
band,It was a jazz band,It was a country band,TRUE,Homonymy,jazz,country,M2_a_M2_b,N,4,4,0,13,0,0091263115,0034426391,0,M2_a,M2_b
bank,He banked the plane,He banked the money,FALSE,Homonymy,plane,money,M1_a_M2_a,V,1,1,0,17,1060660172,0323924422,0132879496,0257247878,M1_a,M2_a
bank,He banked the plane,He banked the cash,FALSE,Homonymy,plane,cash,M1_a_M2_b,V,0733333333,1,0266666667,15,0703731551,0273554802,0136303425,0181702705,M1_a,M2_b
bank,He banked the helicopter,He banked the money,FALSE,Homonymy,helicopter,money,M1_b_M2_a,V,06,1,04,10,0516397779,0350970745,0146282852,0163299316,M1_b,M2_a
bank,He banked the helicopter,He banked the cash,FALSE,Homonymy,helicopter,cash,M1_b_M2_b,V,1375,15,0125,8,1302470181,0298910558,0146447778,0460492749,M1_b,M2_b
bank,He banked the plane,He banked the helicopter,TRUE,Homonymy,plane,helicopter,M1_a_M1_b,V,3333333333,35,0166666667,12,0778498944,0052691579,0030866385,0224733287,M1_a,M1_b
bank,He banked the money,He banked the cash,TRUE,Homonymy,money,cash,M2_a_M2_b,V,3533333333,4,0466666667,15,0833809388,0071297884,0015070319,0215288658,M2_a,M2_b
barrier,There was a police barrier,There was a language barrier,FALSE,Polysemy,police,language,M1_a_M2_a,N,1333333333,1,0333333333,12,1154700538,0270082295,0092094541,0333333333,M1_a,M2_a
barrier,There was a police barrier,There was a religious barrier,FALSE,Polysemy,police,religious,M1_a_M2_b,N,1266666667,2,0733333333,15,1032795559,0224227011,0076318026,0266666667,M1_a,M2_b
barrier,There was a concrete barrier,There was a language barrier,FALSE,Polysemy,concrete,language,M1_b_M2_a,N,1692307692,2,0307692308,13,1250640861,0247155786,007921809,0346865366,M1_b,M2_a
barrier,There was a concrete barrier,There was a religious barrier,FALSE,Polysemy,concrete,religious,M1_b_M2_b,N,1727272727,2,0272727273,11,1348399725,0197422087,0060512066,0406557814,M1_b,M2_b
barrier,There was a police barrier,There was a concrete barrier,TRUE,Polysemy,police,concrete,M1_a_M1_b,N,2923076923,3,0076923077,13,1320450584,011560303,0063831151,0366227099,M1_a,M1_b
barrier,There was a language barrier,There was a religious barrier,TRUE,Polysemy,language,religious,M2_a_M2_b,N,3538461538,4,0461538462,13,0776250026,0136045516,0056087494,0215293021,M2_a,M2_b
bat,He saw a furry bat,He saw a wooden bat,FALSE,Homonymy,furry,wooden,M1_a_M2_a,N,0,0,0,10,0,0141213,0037469864,0,M1_a,M2_a
bat,He saw a furry bat,He saw a baseball bat,FALSE,Homonymy,furry,baseball,M1_a_M2_b,N,05,0,05,14,0854850414,0220161021,0048564672,0228468383,M1_a,M2_b
bat,He saw a fruit bat,He saw a wooden bat,FALSE,Homonymy,fruit,wooden,M1_b_M2_a,N,02,0,02,10,0632455532,0199045181,0049907684,02,M1_b,M2_a
bat,He saw a fruit bat,He saw a baseball bat,FALSE,Homonymy,fruit,baseball,M1_b_M2_b,N,0083333333,0,0083333333,12,0288675135,0269888878,0064392745,0083333333,M1_b,M2_b
bat,He saw a furry bat,He saw a fruit bat,TRUE,Homonymy,furry,fruit,M1_a_M1_b,N,355,4,045,20,0998683344,0117426872,0030932486,0223312384,M1_a,M1_b
bat,He saw a wooden bat,He saw a baseball bat,TRUE,Homonymy,wooden,baseball,M2_a_M2_b,N,3545454545,4,0454545455,11,1213559752,0098202467,0045940161,0365902033,M2_a,M2_b
beam,He saw the laser beam,He saw the wood beam,FALSE,Polysemy,laser,wood,M1_a_M2_a,N,1142857143,1,0142857143,14,0949262293,0312720001,0051152468,0253701019,M1_a,M2_a
beam,He saw the laser beam,He saw the balance beam,FALSE,Polysemy,laser,balance,M1_a_M2_b,N,0833333333,1,0166666667,12,0937436867,0334815323,0102861106,0270614714,M1_a,M2_b
beam,He saw the bright beam,He saw the wood beam,FALSE,Polysemy,bright,wood,M1_b_M2_a,N,0555555556,0,0555555556,9,1333333333,0237403274,0073608041,0444444444,M1_b,M2_a
beam,He saw the bright beam,He saw the balance beam,FALSE,Polysemy,bright,balance,M1_b_M2_b,N,0363636364,0,0363636364,11,0674199862,0323186874,0126451135,0203278907,M1_b,M2_b
beam,He saw the laser beam,He saw the bright beam,TRUE,Polysemy,laser,bright,M1_a_M1_b,N,3545454545,4,0454545455,11,0687551651,014106673,0063059807,0207304623,M1_a,M1_b
beam,He saw the wood beam,He saw the balance beam,TRUE,Polysemy,wood,balance,M2_a_M2_b,N,26,3,04,20,1187655807,0259652674,0094416857,0265567912,M2_a,M2_b
block,She had a toy block,She had a mental block,FALSE,Polysemy,toy,mental,M1_a_M2_a,N,0538461538,0,0538461538,13,0967417922,0344962478,0126269341,0268313456,M1_a,M2_a
block,She had a toy block,She had a writer's block,FALSE,Polysemy,toy,writer,M1_a_M2_b,N,0133333333,0,0133333333,15,0516397779,074992314,0089277864,0133333333,M1_a,M2_b
block,She had a wooden block,She had a mental block,FALSE,Polysemy,wooden,mental,M1_b_M2_a,N,1,1,0,13,1224744871,0424544752,0171375155,033968311,M1_b,M2_a
block,She had a wooden block,She had a writer's block,FALSE,Polysemy,wooden,writer,M1_b_M2_b,N,02,0,02,10,0421637021,0747714102,0135741949,0133333333,M1_b,M2_b
block,She had a toy block,She had a wooden block,TRUE,Polysemy,toy,wooden,M1_a_M1_b,N,38,4,02,15,0414039336,0149741769,0077775836,0106904497,M1_a,M1_b
block,She had a mental block,She had a writer's block,TRUE,Polysemy,mental,writer,M2_a_M2_b,N,3181818182,3,0181818182,11,0981649817,0681398749,0116603911,0295978556,M2_a,M2_b
blood,He has coagulated blood,He has noble blood,FALSE,Polysemy,coagulated,noble,M1_a_M2_a,N,16,2,04,15,0985610761,0421955585,0150418937,0254483604,M1_a,M2_a
blood,He has coagulated blood,He has royal blood,FALSE,Polysemy,coagulated,royal,M1_a_M2_b,N,25,25,0,8,09258201,0407098174,0148918033,0327326835,M1_a,M2_b
blood,He has thin blood,He has noble blood,FALSE,Polysemy,thin,noble,M1_b_M2_a,N,2222222222,2,0222222222,9,16414763,0315900445,0075837672,0547158767,M1_b,M2_a
blood,He has thin blood,He has royal blood,FALSE,Polysemy,thin,royal,M1_b_M2_b,N,2214285714,2,0214285714,14,1121713759,0343109667,0086559355,0299790612,M1_b,M2_b
blood,He has coagulated blood,He has thin blood,TRUE,Polysemy,coagulated,thin,M1_a_M1_b,N,3631578947,4,0368421053,19,0955133866,0238283217,0115974247,0219122737,M1_a,M1_b
blood,He has noble blood,He has royal blood,TRUE,Polysemy,noble,royal,M2_a_M2_b,N,3583333333,4,0416666667,12,0792961461,0078508019,0045944512,0228908257,M2_a,M2_b
board,It was the ironing board,It was the executive board,FALSE,Polysemy,ironing,executive,M1_a_M2_a,N,0066666667,0,0066666667,15,025819889,0376005471,0122809231,0066666667,M1_a,M2_a
board,It was the ironing board,It was the school board,FALSE,Polysemy,ironing,school,M1_a_M2_b,N,0416666667,0,0416666667,12,099620492,0306866348,0126246154,0287579589,M1_a,M2_b
board,It was the wooden board,It was the executive board,FALSE,Polysemy,wooden,executive,M1_b_M2_a,N,025,0,025,12,0452267017,0420134366,010416615,0130558242,M1_b,M2_a
board,It was the wooden board,It was the school board,FALSE,Polysemy,wooden,school,M1_b_M2_b,N,06,0,06,15,0736788398,0322381914,012045747,0190237946,M1_b,M2_b
board,It was the ironing board,It was the wooden board,TRUE,Polysemy,ironing,wooden,M1_a_M1_b,N,2625,25,0125,8,1302470181,018104279,0074928045,0460492749,M1_a,M1_b
board,It was the executive board,It was the school board,TRUE,Polysemy,executive,school,M2_a_M2_b,N,3666666667,4,0333333333,15,06172134,0236396194,0067143738,0159363815,M2_a,M2_b
book,He had a best selling book,He had a heavy book,FALSE,Polysemy,best selling,heavy,M1_a_M2_a,N,3692307692,4,0307692308,13,1109400392,0570299804,0085380137,0307692308,M1_a,M2_a
book,He had a best selling book,He had a leather bound book,FALSE,Polysemy,best selling,leather bound,M1_a_M2_b,N,3357142857,4,0642857143,14,1081817762,0269021332,0070268571,0289127959,M1_a,M2_b
book,He had a popular book,He had a heavy book,FALSE,Polysemy,popular,heavy,M1_b_M2_a,N,4,4,0,11,0,0216969311,0091368973,0,M1_b,M2_a
book,He had a popular book,He had a leather bound book,FALSE,Polysemy,popular,leather bound,M1_b_M2_b,N,3818181818,4,0181818182,11,0603022689,0615868211,0103061438,0181818182,M1_b,M2_b
book,He had a best selling book,He had a popular book,TRUE,Polysemy,best selling,popular,M1_a_M1_b,N,4,4,0,12,0,0498813987,004464519,0,M1_a,M1_b
book,He had a heavy book,He had a leather bound book,TRUE,Polysemy,heavy,leather bound,M2_a_M2_b,N,375,4,025,16,0683130051,0516257912,0095530927,0170782513,M2_a,M2_b
break,He broke the glass,He broke the law,FALSE,Polysemy,glass,law,M1_a_M2_a,V,1733333333,2,0266666667,15,1032795559,0357050598,0126903534,0266666667,M1_a,M2_a
break,He broke the glass,He broke the promise,FALSE,Polysemy,glass,promise,M1_a_M2_b,V,2357142857,3,0642857143,14,1008208072,0405449092,0115515828,0269454941,M1_a,M2_b
break,He broke the dish,He broke the law,FALSE,Polysemy,dish,law,M1_b_M2_a,V,23,25,02,10,133749351,0427916944,0191336215,0422952585,M1_b,M2_a
break,He broke the dish,He broke the promise,FALSE,Polysemy,dish,promise,M1_b_M2_b,V,23,3,07,10,133749351,0477100194,0155141354,0422952585,M1_b,M2_b
break,He broke the glass,He broke the dish,TRUE,Polysemy,glass,dish,M1_a_M1_b,V,4,4,0,15,0,0132749021,009671092,0,M1_a,M1_b
break,He broke the law,He broke the promise,TRUE,Polysemy,law,promise,M2_a_M2_b,V,3692307692,4,0307692308,13,0480384461,033742106,0082362115,0133234678,M2_a,M2_b
breakfast,They ate a pancake breakfast,They ate a family breakfast,FALSE,Polysemy,pancake,family,M1_a_M2_a,N,3785714286,4,0214285714,14,0578934224,0067232728,0018507063,015472668,M1_a,M2_a
breakfast,They ate a pancake breakfast,They ate a lonely breakfast,FALSE,Polysemy,pancake,lonely,M1_a_M2_b,N,3941176471,4,0058823529,17,0242535625,0121421158,0046943903,0058823529,M1_a,M2_b
breakfast,They ate a nutritious breakfast,They ate a family breakfast,FALSE,Polysemy,nutritious,family,M1_b_M2_a,N,3666666667,4,0333333333,12,1154700538,009598124,0047627091,0333333333,M1_b,M2_a
breakfast,They ate a nutritious breakfast,They ate a lonely breakfast,FALSE,Polysemy,nutritious,lonely,M1_b_M2_b,N,3333333333,4,0666666667,9,1118033989,0055151522,0046446443,0372677996,M1_b,M2_b
breakfast,They ate a pancake breakfast,They ate a nutritious breakfast,TRUE,Polysemy,pancake,nutritious,M1_a_M1_b,N,4,4,0,5,0,0092728674,0054914415,0,M1_a,M1_b
breakfast,They ate a family breakfast,They ate a lonely breakfast,TRUE,Polysemy,family,lonely,M2_a_M2_b,N,38,4,02,20,0615587011,0090344608,0033118784,013764944,M2_a,M2_b
call,They called the landlord,They called the loan,FALSE,Polysemy,landlord,loan,M1_a_M2_a,V,1222222222,1,0222222222,9,0833333333,0267129362,0121238768,0277777778,M1_a,M2_a
call,They called the landlord,They called the debt,FALSE,Polysemy,landlord,debt,M1_a_M2_b,V,13,1,03,10,1418136492,0379179537,013010782,0448454135,M1_a,M2_b
call,They called the police,They called the loan,FALSE,Polysemy,police,loan,M1_b_M2_a,V,1357142857,15,0142857143,14,1081817762,0341154635,0263126612,0289127959,M1_b,M2_a
call,They called the police,They called the debt,FALSE,Polysemy,police,debt,M1_b_M2_b,V,1,1,0,16,1032795559,0464733362,0304124057,025819889,M1_b,M2_b
call,They called the landlord,They called the police,TRUE,Polysemy,landlord,police,M1_a_M1_b,V,3866666667,4,0133333333,15,0351865775,0191510439,0170996845,0090851353,M1_a,M1_b
call,They called the loan,They called the debt,TRUE,Polysemy,loan,debt,M2_a_M2_b,V,3076923077,3,0076923077,13,1037749043,0148041427,0068140984,0287819799,M2_a,M2_b
cape,It was a red cape,It was a rocky cape,FALSE,Homonymy,red,rocky,M1_a_M2_a,N,0090909091,0,0090909091,11,0301511345,0281921923,0080481112,0090909091,M1_a,M2_a
cape,It was a red cape,It was an island cape,FALSE,Homonymy,red,island,M1_a_M2_b,N,0181818182,0,0181818182,11,0404519917,0380894959,0073402226,0121967344,M1_a,M2_b
cape,It was a flowing cape,It was a rocky cape,FALSE,Homonymy,flowing,rocky,M1_b_M2_a,N,1,1,0,11,1264911064,0272568762,0072089553,0381385036,M1_b,M2_a
cape,It was a flowing cape,It was an island cape,FALSE,Homonymy,flowing,island,M1_b_M2_b,N,0428571429,0,0428571429,14,0937614462,0364672005,0081994772,0250588006,M1_b,M2_b
cape,It was a red cape,It was a flowing cape,TRUE,Homonymy,red,flowing,M1_a_M1_b,N,3266666667,4,0733333333,15,1222799287,0081663668,0065949082,0315725418,M1_a,M1_b
cape,It was a rocky cape,It was an island cape,TRUE,Homonymy,rocky,island,M2_a_M2_b,N,2866666667,3,0133333333,15,1245945806,0092699349,0054765403,0321701824,M2_a,M2_b
case,It was a beer case,It was a divorce case,FALSE,Homonymy,beer,divorce,M1_a_M2_a,N,0166666667,0,0166666667,18,0514495755,045721215,0069611669,0121267813,M1_a,M2_a
case,It was a beer case,It was a criminal case,FALSE,Homonymy,beer,criminal,M1_a_M2_b,N,04,0,04,10,0699205899,0469730914,0093788862,0221108319,M1_a,M2_b
case,It was a display case,It was a divorce case,FALSE,Homonymy,display,divorce,M1_b_M2_a,N,025,0,025,12,0452267017,049239856,0092166007,0130558242,M1_b,M2_a
case,It was a display case,It was a criminal case,FALSE,Homonymy,display,criminal,M1_b_M2_b,N,0363636364,0,0363636364,11,0504524979,0471332073,0091340482,0152120005,M1_b,M2_b
case,It was a beer case,It was a display case,TRUE,Homonymy,beer,display,M1_a_M1_b,N,175,2,025,12,1055289706,0209219635,0053949893,0304635898,M1_a,M1_b
case,It was a divorce case,It was a criminal case,TRUE,Homonymy,divorce,criminal,M2_a_M2_b,N,3928571429,4,0071428571,14,0267261242,0138578296,0065858305,0071428571,M2_a,M2_b
cast,She cast a shadow,She cast a spear,FALSE,Polysemy,shadow,spear,M1_a_M2_a,V,0909090909,1,0090909091,11,1221027883,0222672522,0137296617,0368153759,M1_a,M2_a
cast,She cast a shadow,She cast a stone,FALSE,Polysemy,shadow,stone,M1_a_M2_b,V,1142857143,1,0142857143,14,1231455852,0194877267,014134413,032912042,M1_a,M2_b
cast,She cast a glow,She cast a spear,FALSE,Polysemy,glow,spear,M1_b_M2_a,V,1461538462,1,0461538462,13,1391365314,0262479603,0146176755,0385895306,M1_b,M2_a
cast,She cast a glow,She cast a stone,FALSE,Polysemy,glow,stone,M1_b_M2_b,V,0941176471,1,0058823529,17,1028991511,0268744171,0148141026,0249567099,M1_b,M2_b
cast,She cast a shadow,She cast a glow,TRUE,Polysemy,shadow,glow,M1_a_M1_b,V,3285714286,4,0714285714,7,0951189731,015237397,0058177471,0359515925,M1_a,M1_b
cast,She cast a spear,She cast a stone,TRUE,Polysemy,spear,stone,M2_a_M2_b,V,32,3,02,15,0941123948,0166104376,0054468334,0242997159,M2_a,M2_b
cause,It was a worthy cause,It was a main cause,FALSE,Polysemy,worthy,main,M1_a_M2_a,N,2272727273,2,0272727273,11,1103712743,0331558168,0123266876,0332781913,M1_a,M2_a
cause,It was a worthy cause,It was a primary cause,FALSE,Polysemy,worthy,primary,M1_a_M2_b,N,2352941176,2,0352941176,17,1271867548,0408631563,012228179,0308473191,M1_a,M2_b
cause,It was a political cause,It was a main cause,FALSE,Polysemy,political,main,M1_b_M2_a,N,25,25,0,12,1087114613,0297854483,0101985812,0313822957,M1_b,M2_a
cause,It was a political cause,It was a primary cause,FALSE,Polysemy,political,primary,M1_b_M2_b,N,2071428571,2,0071428571,14,1384768001,0401752174,0095640481,0370094816,M1_b,M2_b
cause,It was a worthy cause,It was a political cause,TRUE,Polysemy,worthy,political,M1_a_M1_b,N,3461538462,4,0538461538,13,0877058019,0155668616,0081602454,0243252128,M1_a,M1_b
cause,It was a main cause,It was a primary cause,TRUE,Polysemy,main,primary,M2_a_M2_b,N,4,4,0,10,0,0063994706,0017945051,0,M2_a,M2_b
cell,It was a skin cell,It was a prison cell,FALSE,Polysemy,skin,prison,M1_a_M2_a,N,02,0,02,10,0421637021,0370926499,016009587,0133333333,M1_a,M2_a
cell,It was a skin cell,It was a jail cell,FALSE,Polysemy,skin,jail,M1_a_M2_b,N,0428571429,0,0428571429,14,0937614462,0376195669,0152398884,0250588006,M1_a,M2_b
cell,It was a brain cell,It was a prison cell,FALSE,Polysemy,brain,prison,M1_b_M2_a,N,0272727273,0,0272727273,11,0646669791,0429600775,0125241637,0194978278,M1_b,M2_a
cell,It was a brain cell,It was a jail cell,FALSE,Polysemy,brain,jail,M1_b_M2_b,N,0133333333,0,0133333333,15,0351865775,0417385757,012647438,0090851353,M1_b,M2_b
cell,It was a skin cell,It was a brain cell,TRUE,Polysemy,skin,brain,M1_a_M1_b,N,3947368421,4,0052631579,19,0229415734,0169089794,0058419585,0052631579,M1_a,M1_b
cell,It was a prison cell,It was a jail cell,TRUE,Polysemy,prison,jail,M2_a_M2_b,N,4,4,0,8,0,0035871804,0007160008,0,M2_a,M2_b
charm,She had a devilish charm,She had a gold charm,FALSE,Polysemy,devilish,gold,M1_a_M2_a,N,1,1,0,10,0942809042,0240996659,0110680997,0298142397,M1_a,M2_a
charm,She had a devilish charm,She had a good luck charm,FALSE,Polysemy,devilish,good luck,M1_a_M2_b,N,0727272727,0,0727272727,11,0904534034,0661765426,0036620796,0272727273,M1_a,M2_b
charm,She had a natural charm,She had a gold charm,FALSE,Polysemy,natural,gold,M1_b_M2_a,N,0588235294,0,0588235294,17,071228712,0244825065,0154701471,0172755002,M1_b,M2_a
charm,She had a natural charm,She had a good luck charm,FALSE,Polysemy,natural,good luck,M1_b_M2_b,N,1285714286,1,0285714286,14,138278267,0672413886,0098940611,0369564214,M1_b,M2_b
charm,She had a devilish charm,She had a natural charm,TRUE,Polysemy,devilish,natural,M1_a_M1_b,N,3846153846,4,0153846154,13,0554700196,0062950611,0057939589,0153846154,M1_a,M1_b
charm,She had a gold charm,She had a good luck charm,TRUE,Polysemy,gold,good luck,M2_a_M2_b,N,3166666667,35,0333333333,12,1114640858,0616652161,007942915,03217691,M2_a,M2_b
check,He checked the engine,He checked the alibi,FALSE,Polysemy,engine,alibi,M1_a_M2_a,V,31,35,04,10,1100504935,0196067929,0111678481,0348010217,M1_a,M2_a
check,He checked the engine,He checked the facts,FALSE,Polysemy,engine,facts,M1_a_M2_b,V,2857142857,3,0142857143,14,1292412345,024142921,0137530684,0345411728,M1_a,M2_b
check,He checked the oven,He checked the alibi,FALSE,Polysemy,oven,alibi,M1_b_M2_a,V,2684210526,3,0315789474,19,1293257368,0182829201,0125203133,0296693588,M1_b,M2_a
check,He checked the oven,He checked the facts,FALSE,Polysemy,oven,facts,M1_b_M2_b,V,3142857143,3,0142857143,14,0949262293,0267269194,0137405217,0253701019,M1_b,M2_b
check,He checked the engine,He checked the oven,TRUE,Polysemy,engine,oven,M1_a_M1_b,V,3666666667,4,0333333333,15,0487950036,0117293715,009573859,0125988158,M1_a,M1_b
check,He checked the alibi,He checked the facts,TRUE,Polysemy,alibi,facts,M2_a_M2_b,V,36,4,04,5,0894427191,0124973059,0064044297,04,M2_a,M2_b
chicken,They liked the juicy chicken,They liked the clucking chicken,FALSE,Polysemy,juicy,clucking,M1_a_M2_a,N,3,3,0,20,0858395075,0079601288,0077332795,0191942974,M1_a,M2_a
chicken,They liked the juicy chicken,They liked the pet chicken,FALSE,Polysemy,juicy,pet,M1_a_M2_b,N,2888888889,3,0111111111,9,1452966315,0157398224,0074458599,0484322105,M1_a,M2_b
chicken,They liked the roasted chicken,They liked the clucking chicken,FALSE,Polysemy,roasted,clucking,M1_b_M2_a,N,3555555556,4,0444444444,9,0527046277,0150800705,0093166828,0175682092,M1_b,M2_a
chicken,They liked the roasted chicken,They liked the pet chicken,FALSE,Polysemy,roasted,pet,M1_b_M2_b,N,3571428571,4,0428571429,7,0534522484,0202583611,0074374795,0202030509,M1_b,M2_b
chicken,They liked the juicy chicken,They liked the roasted chicken,TRUE,Polysemy,juicy,roasted,M1_a_M1_b,N,4,4,0,16,0,0094624102,0029318571,0,M1_a,M1_b
chicken,They liked the clucking chicken,They liked the pet chicken,TRUE,Polysemy,clucking,pet,M2_a_M2_b,N,35625,4,04375,16,1093541647,013973552,006022501,0273385412,M2_a,M2_b
class,It was a perceptive class,It was a boring class,FALSE,Polysemy,perceptive,boring,M1_a_M2_a,N,3545454545,4,0454545455,11,0820199532,0092052758,00994699,0247299464,M1_a,M2_a
class,It was a perceptive class,It was a stimulating class,FALSE,Polysemy,perceptive,stimulating,M1_a_M2_b,N,3583333333,4,0416666667,12,0900336637,0078946948,0072611749,02599048,M1_a,M2_b
class,It was a misbehaving class,It was a boring class,FALSE,Polysemy,misbehaving,boring,M1_b_M2_a,N,29375,3,00625,16,1062622542,0148044109,0044291019,0265655635,M1_b,M2_a
class,It was a misbehaving class,It was a stimulating class,FALSE,Polysemy,misbehaving,stimulating,M1_b_M2_b,N,28,3,02,15,1373213125,0133084118,0085173726,0354562104,M1_b,M2_b
class,It was a perceptive class,It was a misbehaving class,TRUE,Polysemy,perceptive,misbehaving,M1_a_M1_b,N,2545454545,3,0454545455,11,1507556723,0061455071,0095460892,0454545455,M1_a,M1_b
class,It was a boring class,It was a stimulating class,TRUE,Polysemy,boring,stimulating,M2_a_M2_b,N,3833333333,4,0166666667,12,0577350269,0053896427,0063209891,0166666667,M2_a,M2_b
clear,He cleared the desk,He cleared the path,FALSE,Polysemy,desk,path,M1_a_M2_a,V,3333333333,4,0666666667,6,1211060142,0282314956,0093875289,0494413232,M1_a,M2_a
clear,He cleared the desk,He cleared the road,FALSE,Polysemy,desk,road,M1_a_M2_b,V,2833333333,25,0333333333,12,0937436867,0373953938,0106257439,0270614714,M1_a,M2_b
